'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2017-09','108',' 서교동 사거리','정기','F','~10대',10,257.89,2.58,11170,143
'2017-09','503',' 더샵스타시티 C동 앞','정기','F','~10대',6,222.9,2.5,10730,131
'2017-09','504',' 신자초교입구교차로','정기','F','~10대',5,180.08,2,8580,56
'2017-09','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',17,1079.81,11.39,49080,496
'2017-09','506',' 금호 어울림 아파트 앞','정기','F','~10대',3,339.77,3.46,14900,130
'2017-09','507',' 성수아이에스비즈타워 앞','정기','F','~10대',4,480.85,4.56,19640,139
'2017-09','508',' 성수아카데미타워 앞','정기','F','~10대',1,38.61,0.35,1500,27
'2017-09','509',' 이마트 버스정류소 옆','정기','F','~10대',7,233.91,2.09,9020,130
'2017-09','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',16,983.24,8.89,38360,249
'2017-09','511',' 서울숲역 4번 출구 옆','정기','F','~10대',5,339.82,3.23,13950,139
'2017-09','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',18,1100.88,10.39,44720,411
'2017-09','109',' 제일빌딩 앞','정기','F','~10대',4,661.97,6.16,26540,217
'2017-09','400',' 상암한화오벨리스크 1차 앞','정기','F','~10대',1,22.56,0.21,890,8
'2017-09','513',' 뚝섬역 5번 출구 정류소 옆','정기','F','~10대',11,280.77,3.21,13800,136
'2017-09','514',' 성수사거리 버스정류장 앞','정기','F','~10대',27,994.53,10.87,46860,382
'2017-09','515',' 광양중학교 앞','정기','F','~10대',9,763.63,6.78,29250,251
'2017-09','516',' 광진메디칼 앞','정기','F','~10대',7,567.94,5.65,24370,195
'2017-09','300',' 정동사거리','정기','F','~10대',3,302.86,2.74,11800,70
'2017-09','301',' 경복궁역 7번출구 앞','정기','F','~10대',27,1175.95,11.42,49290,416
'2017-09','302',' 경복궁역 4번출구 뒤','정기','F','~10대',12,430.19,4.16,17920,201
'2017-09','303',' 광화문역 1번출구 앞','정기','F','~10대',2,74.1,0.66,2850,16
'2017-09','115',' 사루비아 빌딩 앞','정기','F','~10대',2,86.88,0.88,3790,41
'2017-09','304',' 광화문역 2번출구 앞','정기','F','~10대',2,69.56,0.69,3010,26
'2017-09','306',' 광화문역 7번출구 앞','정기','F','~10대',6,236.05,2.41,10430,125
'2017-09','308',' 광화문 S타워 앞','정기','F','~10대',1,20.85,0.19,810,6
'2017-09','309',' 광화문역 6번출구 옆','정기','F','~10대',3,54.85,0.58,2480,50
'2017-09','310',' 청계광장 옆','정기','F','~10대',3,64.1,0.57,2490,43
'2017-09','311',' 서울광장 옆','정기','F','~10대',3,207.36,1.93,8320,66
'2017-09','312',' 시청역 1번출구 뒤','정기','F','~10대',6,202.86,1.78,7710,76
'2017-09','313',' 서울역 광장 파출소 옆','정기','F','~10대',3,149.61,1.49,6440,40
'2017-09','110',' 사천교','정기','F','~10대',3,398.23,4.52,19470,144
'2017-09','314',' 국립현대미술관','정기','F','~10대',5,113.63,1.11,4810,65
'2017-09','315',' 신한은행 안국역지점 옆','정기','F','~10대',40,2811.68,23.88,102880,842
'2017-09','316',' 종각역 1번출구 앞','정기','F','~10대',5,147.5,1.37,5930,57
'2017-09','321',' KEB 하나은행 본점 앞','정기','F','~10대',1,60.15,0.5,2170,17
'2017-09','322',' 명동성당 앞','정기','F','~10대',2,225.74,2.03,8770,64
'2017-09','116',' 일진아이윌아파트 옆','정기','F','~10대',1,15.74,0.16,710,19
'2017-09','324',' 신세계백화점 본점 앞','정기','F','~10대',5,321.2,3.45,14880,94
'2017-09','326',' 안국역 5번출구 앞','정기','F','~10대',22,1036.58,8.58,36930,316
'2017-09','327',' 낙원상가 옆','정기','F','~10대',5,166.96,1.38,5900,72
'2017-09','328',' 탑골공원 앞','정기','F','~10대',3,157.39,1.52,6540,93
'2017-09','329',' 청계2가 사거리 옆','정기','F','~10대',6,344.28,3.46,14860,114
'2017-09','330',' 청계천 한빛광장','정기','F','~10대',1,7.98,0.07,310,28
'2017-09','331',' 을지로2가 사거리 북측','정기','F','~10대',2,106.07,1,4310,41
'2017-09','111',' 상수역 2번출구 앞','정기','F','~10대',10,1564.23,14.19,61210,345
'2017-09','334',' 종로3가역 2번출구 뒤','정기','F','~10대',2,54.73,0.49,2110,39
'2017-09','335',' 종로3가역 15번출구 앞','정기','F','~10대',6,227.05,2.53,10890,114
'2017-09','337',' 창경궁 입구','정기','F','~10대',13,471.6,4.32,18540,161
'2017-09','338',' 세운스퀘어 앞','정기','F','~10대',2,100.35,1,4330,34
'2017-09','339',' 종로4가 사거리','정기','F','~10대',9,335.88,3.35,14450,140
'2017-09','340',' 혜화동 로터리','정기','F','~10대',17,811.25,7.31,31580,326
'2017-09','341',' 혜화역 3번출구 뒤','정기','F','~10대',19,402.49,4.35,18620,151
'2017-09','342',' 대학로 마로니에공원','정기','F','~10대',30,1120.21,9.81,42320,534
'2017-09','343',' 예일빌딩(율곡로) 앞','정기','F','~10대',7,224.96,2.03,8740,86
'2017-09','112',' 극동방송국 앞','정기','F','~10대',8,1334.67,13,56080,516
'2017-09','344',' 성균관대 E하우스 앞','정기','F','~10대',20,682.71,6.77,29190,234
'2017-09','346',' 맥스타일 앞','정기','F','~10대',10,451.15,4.44,19150,166
'2017-09','347',' 동대문역사문화공원역 9번출구 앞','정기','F','~10대',11,630.17,6.2,26760,242
'2017-09','349',' 사직동주민센터','정기','F','~10대',29,837.9,9.08,39110,430
'2017-09','351',' 청운초교 앞 삼거리','정기','F','~10대',2,211.91,1.66,7150,80
'2017-09','352',' 중앙고입구 삼거리','정기','F','~10대',8,577.87,5.22,22450,135
'2017-09','353',' 재동초교 앞 삼거리','정기','F','~10대',5,173.35,1.68,7280,117
'2017-09','117',' 홍은사거리','정기','F','~10대',24,3659.79,31.19,134410,701
'2017-09','354',' 포르투갈 대사관 앞','정기','F','~10대',14,317.37,3.1,13350,172
'2017-09','355',' 서울사대부속초교 앞','정기','F','~10대',14,288.48,2.64,11380,106
'2017-09','356',' KT혜화지사 앞','정기','F','~10대',17,304.56,3.17,13620,267
'2017-09','358',' 성대입구 사거리','정기','F','~10대',87,2206.45,21.26,91700,884
'2017-09','359',' 원남동사거리','정기','F','~10대',138,3363.72,33.61,144700,1365
'2017-09','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',13,565.85,5.38,23220,211
'2017-09','362',' 청계8가 사거리','정기','F','~10대',2,56.19,0.6,2580,20
'2017-09','363',' 신설동역 11번출구 뒤','정기','F','~10대',21,1331.1,10.68,46070,353
'2017-09','364',' 창신역 1번출구 앞','정기','F','~10대',10,234.66,1.7,7330,56
'2017-09','113',' 홍대입구역 2번출구 앞','정기','F','~10대',31,3053.93,28.78,124100,1053
'2017-09','367',' 독립문역 3-1번출구 ','정기','F','~10대',10,637.71,6.79,29280,182
'2017-09','368',' SK 서린빌딩 앞','정기','F','~10대',3,115.44,0.92,3970,62
'2017-09','369',' 광화문 시민열린마당','정기','F','~10대',3,165.05,1.59,6850,47
